No,Hospital_Name,State_Code,State,Membership_Tier,Hospital_Type,Accreditation,Languages_Spoken,International_Patient_Services,Website_URL,specialist,Latitude,Longitude
86,Topvision Eye Specialist Centre,SEL,Selangor,Ordinary Member,,,,,https://www.tvesc.com,Glaucoma Treatment,3.1075755,101.4468324
86,Topvision Eye Specialist Centre,SEL,Selangor,Ordinary Member,,,,,https://www.tvesc.com,Age Related Macular Degenaration,3.1075755,101.4468324
86,Topvision Eye Specialist Centre,SEL,Selangor,Ordinary Member,,,,,https://www.tvesc.com,Dry Eyes,3.1075755,101.4468324
86,Topvision Eye Specialist Centre,SEL,Selangor,Ordinary Member,,,,,https://www.tvesc.com,Laser Treatment,3.1075755,101.4468324
87,Tung Shin Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.tungshin.com.my,Internal Medicine,3.1455977,101.7037832
87,Tung Shin Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.tungshin.com.my,Anaesthesiology & Critical Care,3.1455977,101.7037832
87,Tung Shin Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.tungshin.com.my,Cardiology,3.1455977,101.7037832
87,Tung Shin Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.tungshin.com.my,Oncology (Clinical),3.1455977,101.7037832
87,Tung Shin Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.tungshin.com.my,Clinical Radiology,3.1455977,101.7037832
88,UCSI Hospital,NS,Negeri Sembilan,Ordinary Member,,,,,https://ucsihospital.com/,Cardiology,2.6056985,101.8527694
88,UCSI Hospital,NS,Negeri Sembilan,Ordinary Member,,,,,https://ucsihospital.com/,Neurology,2.6056985,101.8527694
88,UCSI Hospital,NS,Negeri Sembilan,Ordinary Member,,,,,https://ucsihospital.com/,Breast & Endocrine Surgery,2.6056985,101.8527694
88,UCSI Hospital,NS,Negeri Sembilan,Ordinary Member,,,,,https://ucsihospital.com/,Anaesthesiology & Critical Care,2.6056985,101.8527694
88,UCSI Hospital,NS,Negeri Sembilan,Ordinary Member,,,,,https://ucsihospital.com/,Cardiothoracic Surgery,2.6056985,101.8527694
89,UKM Specialist Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.ukmsc.com.my/,Breast Endocrine,3.0982089,101.7261323
89,UKM Specialist Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.ukmsc.com.my/,Cardiology,3.0982089,101.7261323
89,UKM Specialist Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.ukmsc.com.my/,Cardiothoracic Surgery,3.0982089,101.7261323
89,UKM Specialist Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.ukmsc.com.my/,Dermatology,3.0982089,101.7261323
89,UKM Specialist Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.ukmsc.com.my/,"Ear, Nose & Throat (ENT)",3.0982089,101.7261323
90,UMSC Ambulatory Care & Specialist Clinic,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://umsc.my/,,3.1162188,101.6506173
91,Xi TCM Fertility & Women's Health Centre,WP,Wilayah Persekutuan,Associate Member,,,,,https://thexigroup.com/,,3.0527718,101.6708931
