osm_id,attraction_name,category,raw_osm_tag,lat,lon,distance_km,query_type,reference_point,reference_state
node/9089368422,Bukit Keluang,Mountain / Peak,natural=peak,4.9657931,103.2888114,35.97,rural_region,Terengganu,Terengganu
node/9774012849,Kraftangan Malaysia,General Attraction,tourism=attraction,5.2728707,103.1654084,25.48,rural_region,Terengganu,Terengganu
node/11607264101,Albinos & Baby Turtle,General Attraction,tourism=attraction,5.2320767,103.2624164,31.91,rural_region,Terengganu,Terengganu
node/12078417614,Bukit Jong,Mountain / Peak,natural=peak,5.3590233,103.0300232,27.49,rural_region,Terengganu,Terengganu
node/12079708095,Bukit Darat Batu Rakit,Mountain / Peak,natural=peak,5.4281765,103.0243918,35.08,rural_region,Terengganu,Terengganu
node/12079708135,Bukit Maras,Mountain / Peak,natural=peak,5.4224486,103.0206093,34.42,rural_region,Terengganu,Terengganu
node/12079721134,Puncak 275,Mountain / Peak,natural=peak,5.4145047,103.024634,33.57,rural_region,Terengganu,Terengganu
node/12079721202,Puncak Dusun 50,Mountain / Peak,natural=peak,5.4179987,103.0220041,33.94,rural_region,Terengganu,Terengganu
node/12080963825,Bukit Setongkol,Mountain / Peak,natural=peak,5.3955858,103.0248284,31.48,rural_region,Terengganu,Terengganu
node/12081034262,Bukit Tamoh,Mountain / Peak,natural=peak,5.4355112,103.008027,35.81,rural_region,Terengganu,Terengganu
node/12081034263,Bukit Berapit,Mountain / Peak,natural=peak,5.4425817,103.0185413,36.64,rural_region,Terengganu,Terengganu
node/12081034264,Bukit Che Kamis,Mountain / Peak,natural=peak,5.4312282,103.0127048,35.35,rural_region,Terengganu,Terengganu
node/12082945601,Bukit Tok Salai,Mountain / Peak,natural=peak,5.2950238,103.0037784,20.18,rural_region,Terengganu,Terengganu
node/12084165188,Bukit Sepulau,Mountain / Peak,natural=peak,5.1524314,102.925415,9.32,rural_region,Terengganu,Terengganu
node/12084172270,Bukit Melentang,Mountain / Peak,natural=peak,5.2623808,102.9481467,17.51,rural_region,Terengganu,Terengganu
node/12085203207,Bukit Mak Muning,Mountain / Peak,natural=peak,5.3354631,102.7521229,36.91,rural_region,Terengganu,Terengganu
node/12085469678,Kem Bonsai,Camp Site,tourism=camp_site,5.3306761,102.7319795,38.26,rural_region,Terengganu,Terengganu
node/12085469679,Hentian Nokia,Camp Site,tourism=camp_site,5.3370414,102.7404466,37.99,rural_region,Terengganu,Terengganu
node/12087576739,Bukit Botok,Viewpoint / Scenic Spot,tourism=viewpoint,5.3037811,103.135078,25.9,rural_region,Terengganu,Terengganu
node/12088140236,Bukit Tobak,Mountain / Peak,natural=peak,5.3061848,103.137154,26.25,rural_region,Terengganu,Terengganu
node/13013877872,Taman Rekreasi Bukit Besi,General Attraction,tourism=attraction,4.7338003,103.1952305,47.45,rural_region,Terengganu,Terengganu
node/13202081780,Kem Pak Chau,Camp Site,tourism=camp_site,4.7928189,102.7024859,48.56,rural_region,Terengganu,Terengganu
node/13277593886,Kampung Cina Bridge,General Attraction,tourism=attraction,5.3342451,103.1334099,28.64,rural_region,Terengganu,Terengganu
node/13378315339,Hutan Lipur Bukit Lesing,Picnic / Recreation Site,tourism=picnic_site,5.2884803,102.8768858,23.75,rural_region,Terengganu,Terengganu
node/13426178251,Sunset Viewpoint Pulau Ketam,Viewpoint / Scenic Spot,tourism=viewpoint,5.3270013,103.1166615,27.02,rural_region,Terengganu,Terengganu
node/13470177628,Istana Syarqiyyah,Historic Fort/Castle,historic=castle,5.2565519,103.1694899,24.6,rural_region,Terengganu,Terengganu
node/13511779672,Bukit Rotan Batu,Mountain / Peak,natural=peak,5.4331187,102.7769279,43.27,rural_region,Terengganu,Terengganu
node/13511781651,Bukit Tinggi,Mountain / Peak,natural=peak,5.4472383,102.8042006,42.97,rural_region,Terengganu,Terengganu
node/13512465001,Bukit Abai,Mountain / Peak,natural=peak,5.1518865,102.9932749,4.32,rural_region,Terengganu,Terengganu
node/13512465314,Bukit Bertam,Mountain / Peak,natural=peak,5.1453255,102.8863835,13.07,rural_region,Terengganu,Terengganu
